Time	Node	Type	Packets	
54999	0	CacheHits	2608
54999	0	CacheMisses	12185
54999	1	CacheHits	1351
54999	1	CacheMisses	8852
54999	2	CacheHits	2427
54999	2	CacheMisses	12137
54999	3	CacheHits	2380
54999	3	CacheMisses	12998
54999	4	CacheHits	1798
54999	4	CacheMisses	11723
54999	5	CacheHits	3101
54999	5	CacheMisses	15799
54999	6	CacheHits	2020
54999	6	CacheMisses	9829
54999	7	CacheHits	347
54999	7	CacheMisses	1060
54999	8	CacheHits	546
54999	8	CacheMisses	1788
54999	9	CacheHits	568
54999	9	CacheMisses	1837
54999	10	CacheHits	561
54999	10	CacheMisses	1869
54999	11	CacheHits	534
54999	11	CacheMisses	1912
54999	12	CacheHits	524
54999	12	CacheMisses	1857
54999	13	CacheHits	559
54999	13	CacheMisses	1863
54999	14	CacheHits	463
54999	14	CacheMisses	1837
54999	15	CacheHits	469
54999	15	CacheMisses	1806
54999	16	CacheHits	555
54999	16	CacheMisses	1852
54999	17	CacheHits	595
54999	17	CacheMisses	1869
54999	18	CacheHits	529
54999	18	CacheMisses	1905
54999	19	CacheHits	589
54999	19	CacheMisses	1923
54999	20	CacheHits	520
54999	20	CacheMisses	1903
54999	21	CacheHits	615
54999	21	CacheMisses	1842
54999	22	CacheHits	564
54999	22	CacheMisses	1913
54999	23	CacheHits	604
54999	23	CacheMisses	1780
54999	24	CacheHits	589
54999	24	CacheMisses	1875
54999	25	CacheHits	580
54999	25	CacheMisses	1796
54999	26	CacheHits	538
54999	26	CacheMisses	1868
54999	27	CacheHits	527
54999	27	CacheMisses	1885
54999	28	CacheHits	578
54999	28	CacheMisses	1844
54999	29	CacheHits	607
54999	29	CacheMisses	1817
54999	30	CacheHits	673
54999	30	CacheMisses	1843
54999	31	CacheHits	613
54999	31	CacheMisses	1828
54999	32	CacheHits	593
54999	32	CacheMisses	1801
54999	33	CacheHits	642
54999	33	CacheMisses	1827
54999	34	CacheHits	612
54999	34	CacheMisses	1863
54999	35	CacheHits	604
54999	35	CacheMisses	1884
54999	36	CacheHits	502
54999	36	CacheMisses	1904
54999	37	CacheHits	474
54999	37	CacheMisses	1912
54999	38	CacheHits	549
54999	38	CacheMisses	1968
